InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
0,0,,,,,,,IYard,,IYard,Yard,,Yard,,,,IYard,IYard,,Yard,,,,,,,
0,0,,,,,,,Centimeter,,Centimeter,,,Centimeter,,,,,,,Centimeter,,,,,,,
0,0,,,,,,,Millimeter,,Millimeter,,,Millimeter,,,,,,,Millimeter,,,,,,,
0,0,,,,,,,Rod,,Rod,,,Rod,,,,Rod,,,Rod,,,,,,,
0,0,,,,,,,ModAmFt,,ModAmFt,,,Modified American Foot,,,,,Modified American Foot,,Modified American Foot,,,,,,,
0,0,,,,,,,Inch,,Inch,,,Inch,,,,,,,Inch,,,,,,,
0,0,,,,,,,50kilometers,,50kilometers,,50_Kilometers,,,,,,,,,,,,,,,
0,0,,,,,,,150Kilometers,,150Kilometers,,150_Kilometers,,,,,,,,,,,,,,,
0,0,,,,,,,Fathom,,Fathom,,,Fathom,,,,,Fathom,,Fathom,,,,,,,
0,0,,,,,,,NautM-UK,,NautM-UK,,,Nautical Mile (UK),,,,,,,Nautical Mile (UK),,,,,,,
0,9001,,,,,,,Meter,,Meter,metre,Meter,Meter,,,metre,Meter,Meter,Meter,Meter,METER,,,,,,
0,9002,,,,,,,IFoot,,IFoot,foot,Foot,Foot (International),,,3.048 dm,Foot_Intnl,Foot (International),Foot_Intnl,Foot (International),,,,,,,
0,9003,,,,,,,Foot,,Foot,US survey foot,Foot_US,U.S. Foot,,,3.048 dm,Foot_US|US survey foot,U.S. Foot|US survey foot,Foot_US,U.S. Foot,,,,,,,
0,9005,,,,,,,ClarkeFoot,,ClarkeFoot,Clarke's foot,Foot_Clarke,Clarke's Foot,,,,foot_clarke|Clarke's foot,Clarke's foot,Foot_Clarke,Clarke's Foot,,,,,,,
