InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
0,0,,,,,,44,X Coordinate of Scale/Rotate Origin,,X Coordinate of Scale/Rotate Origin,,,,,,,,,,,,,,,,,
0,0,,,,,,45,Y Coordinate of Scale/Rotate Origin,,Y Coordinate of Scale/Rotate Origin,,,,,,,,,,,,,,,,,
0,0,,,,,,46,Cartesian Scale Factor,,Cartesian Scale Factor,,,,,,,,,,,,,,,,,
0,0,,,,,,47,Cartesian Rotation Angle,,Cartesian Rotation Angle,,,,,,,,,,,,,,,,,
0,8806,,,,,,101,False Easting,,False Easting,False easting,False_Easting,False_Easting,,,false_easting,false_easting,false_easting,FalseEasting,False_Easting,,,,,,,
0,8807,,,,,,102,False Northing,,False Northing,False northing,False_Northing,False_Northing,,,false_northing,false_northing,false_northing,FalseNorthing,False_Northing,,,,,,,
0,8801,,,,,,104,Origin Latitude,,Origin Latitude,Latitude of natural origin,Latitude_Of_Origin,Latitude_Of_Origin,,,latitude_of_origin,latitude_of_origin,latitude_of_origin,NatOriginLat,Latitude_Of_Origin,,,,,,,
0,8802,,,,,,103,Origin Longitude,,Origin Longitude,Longitude of natural origin,Central_Meridian,Central_Meridian,,,central_meridian,central_meridian,central_meridian,NatOriginLong,Central_Meridian,,,,,,,
0,8805,,,,,,105,Scale Reduction,,Scale Reduction,Scale factor at natural origin,Scale_Factor,Scale_Factor,,,scale_factor,scale_factor,scale_factor,ScaleAtNatOrigin,Scale_Factor,,,,,,,
0,8605,,,,,,151,Delta X,,Delta X,X-axis translation,X_Axis_Translation,X Axis Translation,,,,X_Axis_Translation,,X_Axis_Translation,,,,,,,,
0,8606,,,,,,152,Delta Y,,Delta Y,Y-axis translation,Y_Axis_Translation,Y Axis Translation,,,,Y_Axis_Translation,,Y_Axis_Translation,,,,,,,,
0,8607,,,,,,153,Delta Z,,Delta Z,Z-axis translation,Z_Axis_Translation,Z Axis Translation,,,,Z_Axis_Translation,,Z_Axis_Translation,,,,,,,,
0,8608,,,,,,154,Rotate X,,Rotate X,X-axis rotation,X_Axis_Rotation,X Axis Rotation,,,,X_Axis_Rotation,,X_Axis_Rotation,,,,,,,,
0,8609,,,,,,155,Rotate Y,,Rotate Y,Y-axis rotation,Y_Axis_Rotation,Y Axis Rotation,,,,Y_Axis_Rotation,,Y_Axis_Rotation,,,,,,,,
0,8610,,,,,,156,Rotate Z,,Rotate Z,Z-axis rotation,Z_Axis_Rotation,Z Axis Rotation,,,,Z_Axis_Rotation,,Z_Axis_Rotation,,,,,,,,
0,8611,,,,,,157,Bursa Wolfe Scale,,Bursa Wolfe Scale,Scale difference,Scale_Difference,Scale Difference,,,,Datum_Scale,,Datum_Sale,,,,,,,,
0,0,,,,,,499,,,,,,,,,semi_major,,,,,,,,,,,
