InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
6280,6280,0,0,0,0,0,,Padang1884,Padang1884,,Padang 1884,D_Padang_1884,Padang 1884 (EPSG ID 6280),,,Padang 1884,,,,,,,Couldn't locate the operation method for this datum.,,0,0,0
6281,6281,0,0,0,0,0,,Palestine23,Palestine23,Palestine23,Palestine 1923,D_Palestine_1923,Palestine 1923 (EPSG ID 6281),,,Palestine 1923,,,,Palestine 1923,,,,,0,65536,0
6282,6282,0,0,0,0,0,,PointeNoire,PointeNoire,PointeNoire60,Congo 1960 Pointe Noire,D_Pointe_Noire,Congo 1960 Pointe Noire (EPSG ID 6282),,,Congo 1960 Pointe Noire,,,,,,,,,0,0,0
6283,6283,0,0,0,0,0,,GDA94,GDA94,GDA94,Geocentric Datum of Australia 1994,D_GDA_1994,Geocentric Datum of Australia 1994 (EPSG ID 6283),,,Geocentric Datum of Australia 1994,,,,GDA 94,,,,,0,0,0
6284,6284,0,0,0,0,0,,Pulkovo1942,Pulkovo1942,PN42,Pulkovo 1942,D_Pulkovo_1942,Pulkovo 1942 (EPSG ID 6284),,,Pulkovo 1942,,,,Pulkovo 1942,,,,,0,0,0
6285,6285,0,0,0,0,0,,Qatar74,Qatar74,Qatar1974,Qatar 1974,D_Qatar,Qatar 1974 (EPSG ID 6285),,,Qatar 1974,,,,,,,,,0,0,0
6286,6286,0,0,0,0,0,,QATAR48,Qatar48,Qatar48,Qatar 1948,D_Qatar_1948,Qatar 1948 (EPSG ID 6286),,,Qatar 1948,,,,,,,,,0,0,0
0,0,0,0,0,0,0,,QATAR,,Qatar,,,,,,,,,,Qatar National,,,,"Apparnently, Oracle (9) copied their information on this from DMA 8352, as did Mentor.  The ellipsoid on this is wrong!!!  Is International 1924, should be Helmert 1906. Qatar 1948 definitions are correct.",0,0,0
6287,6287,0,0,0,0,0,,Qornoq,Qornoq,Qornoq,Qornoq,D_Qornoq,,,,Qornoq,,,,Qornoq,,,"Deprecated by EPSG, replaced by Qornoq 1927.",,0,0,0
6288,6288,0,0,0,0,0,,LomaQuintana,LomaQuintana,,Loma Quintana,D_Loma_Quintana,Loma Quintana (EPSG ID 6288),,,Loma Quintana,,,,,,,Couldn't locate the operation method for this datum.,,0,0,0
