InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
16777373,0,0,0,0,0,0,,GHANA-WO,GhanaWarOffice,GHANA-WO,,,,,,,,,,,,,,,0,0,0
16777374,0,0,0,0,0,0,,HAYFORD,Hayford09,HAYFORD,,,,,,,,,,,,,,,0,0,0
16777375,0,0,0,0,0,0,,HEIS-29,Heiskanen29,HEIS-29,,,,,,,,,,,,,,,0,0,0
16777376,0,0,0,0,0,0,,HOLLAND,Holland,HOLLAND,,,,,,,,,,,,,,,0,0,0
16777378,0,0,0,0,0,0,,,International67,,,International_1967,,,,,,,,,,,,,0,0,0
16777379,0,0,0,0,0,0,,IUGG-67,IUGG67,IUGG-67,,,,,,,,,,,,,,,0,0,0
16777380,0,0,0,0,0,0,,IUGG-75,IUGG75,IUGG-75-MOD,,,,,,,,,,,,,,,0,0,0
16777381,0,0,0,0,0,0,,JEFF-48,Jeffreys48,JEFF-48,,,,,,,,,,,,,,,0,0,0
16777382,0,0,0,0,0,0,,KAULA1961,Kaula61,KAULA1961,,,,,,,,,,,,,,,0,0,0
16777383,0,0,0,0,0,0,,NZGD49,NewZealnd49,HAYFORD,,,,,,,,,,,,,,,0,0,0
16777384,0,0,0,0,0,0,,SVANBERG,Svanberg,SVANBERG,,,,,,,,,,,,,,,0,0,0
16777385,0,0,0,0,0,0,,UNITS3,ThreeUnitSphere,,,,,,,,,,,,,,,,0,0,0
16777386,0,0,0,0,0,0,,WGS60,WGS60,WGS60,,,WGS 60,,,,,,,WGS 60,,,,,0,0,0
16777387,0,0,0,0,0,0,,WGS66,,,,WGS_1966,WGS 66,,,,,,,,,,,,0,0,0
16777388,0,0,0,0,0,0,,WALB,Walbeck,WALB,,Walbeck,,,,,,,,,,,,,0,0,0
16777389,0,0,0,0,0,0,,SPHERE,,,,Sphere_ARC_INFO,,,,,,,,,,,,,0,0,0
16777390,0,0,0,0,0,0,,,,,,Sphere_EMEP,,,,,,,,,,,,,0,0,0
